Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
9,2020,3,2,33,125000,16,41,50,38,2
227,2021,2,2,22,75000,7,14,50,12,0
591,2022,3,2,16,144854,16,55,100,48,1
516,2022,3,2,21,152500,16,55,100,48,1
132,2021,2,2,4,38400,16,56,100,48,1
355,2022,3,2,17,50000,8,20,0,18,1
299,2022,3,2,22,99360,16,55,100,48,1
593,2022,3,2,22,150000,16,55,100,48,1
234,2021,2,2,16,180000,16,55,100,48,0
84,2021,1,2,25,130000,7,30,100,40,0
195,2021,2,2,22,147000,16,55,50,48,0
473,2022,3,2,22,140000,16,55,100,48,1
140,2021,2,2,12,135000,16,55,100,48,0
583,2022,3,2,17,160080,16,55,100,48,1
369,2022,3,2,22,170000,16,55,100,48,1
75,2021,3,2,22,45000,7,19,50,17,0
92,2021,2,2,32,1450000,10,27,100,25,0
357,2022,3,2,22,211500,16,55,100,48,1
68,2020,0,2,22,105000,16,55,100,48,2
15,2020,2,2,12,8000,16,43,50,39,0
153,2021,0,2,22,13400,16,54,100,47,0
333,2022,3,2,12,90320,16,55,100,48,1
88,2021,3,2,32,170000,16,55,100,48,0
505,2022,0,2,22,120000,0,3,50,3,1
117,2021,2,2,20,34000,7,21,100,19,1
599,2022,2,2,22,130000,16,55,100,48,1
411,2022,2,2,22,35000,8,20,0,18,1
33,2020,2,2,48,450000,16,55,0,48,1
0,2020,2,2,22,70000,7,14,0,12,0
600,2022,0,2,12,67000,16,8,0,6,1
544,2022,3,2,17,130000,16,55,100,48,1
361,2022,3,2,12,61300,16,8,100,6,1
335,2022,3,2,17,132320,16,55,100,48,1
296,2022,3,2,12,102100,16,55,100,48,1
245,2021,2,2,17,52500,8,20,50,18,0
22,2020,3,2,17,42000,7,21,50,19,0
447,2022,3,2,17,154600,16,55,100,48,0
116,2021,2,2,22,50000,16,39,100,36,0
89,2021,3,2,12,80000,16,5,100,48,2
353,2022,3,2,22,123000,16,55,100,48,1
212,2021,2,2,17,48000,8,22,50,18,2
18,2020,0,2,19,423000,10,27,50,25,1
501,2022,2,2,29,30000,7,17,100,15,2
575,2022,3,2,22,140000,16,55,100,48,1
144,2021,2,2,17,100000,16,55,100,48,0
284,2021,2,2,48,69999,16,13,50,11,0
275,2021,0,2,22,100000,16,55,100,48,1
547,2022,3,2,17,130000,16,55,100,48,1
364,2022,3,2,17,160000,16,55,0,48,0
519,2022,3,2,3,380000,16,55,100,48,0
316,2022,0,2,17,35000,8,20,100,18,1
561,2022,3,2,2,184700,16,55,0,48,1
464,2022,3,2,46,148000,7,14,100,12,1
167,2021,1,2,25,250000,16,55,0,48,0
54,2020,3,1,10,60000,16,49,100,48,2
605,2022,3,2,12,150000,16,55,100,48,1
46,2020,2,2,22,60000,8,20,100,18,2
93,2021,3,2,33,276000,16,55,0,48,0
265,2021,3,2,33,160000,16,45,50,48,2
108,2021,3,2,17,150000,16,55,100,48,1
565,2022,3,2,17,54000,16,55,0,48,1
606,2022,2,2,1,200000,16,27,100,48,0
486,2022,3,2,22,230000,16,55,100,48,1
442,2022,2,2,17,75000,8,20,100,18,1
305,2022,3,2,12,99000,16,55,0,48,1
403,2022,3,2,12,81666,16,55,0,48,1
218,2021,2,2,38,75000,7,4,100,4,1
400,2022,3,2,17,209100,16,55,100,48,0
436,2022,2,2,17,60000,7,18,100,16,1
257,2021,3,2,46,147000,7,14,100,12,1
478,2022,2,2,22,200000,16,55,100,48,1
69,2020,3,2,22,80000,7,2,0,2,2
271,2021,3,2,10,102000,1,7,0,5,1
409,2022,3,2,22,180000,16,55,100,48,1
588,2022,3,2,12,99000,16,55,0,48,1
311,2022,2,2,22,50000,8,20,0,18,1
199,2021,0,2,19,90000,16,55,100,48,2
487,2022,0,3,22,100000,16,16,50,14,1
149,2021,3,2,9,160000,16,7,100,48,2
124,2021,0,3,12,8760,7,18,50,16,1
434,2022,2,2,17,80000,8,20,100,18,1
472,2022,3,2,22,220000,16,55,100,48,1
185,2021,2,2,17,4000,16,29,100,27,1
228,2021,3,2,22,135000,16,55,0,48,0
500,2022,3,2,38,57000,7,40,100,37,0
248,2021,3,2,17,70000,8,20,50,18,0
264,2021,2,2,22,21600,7,48,100,12,2
250,2021,2,2,22,115000,16,55,50,48,0
450,2022,3,2,17,80000,16,55,100,48,1
370,2022,3,2,22,123000,16,55,100,48,1
558,2022,3,2,22,205300,16,55,0,48,1
515,2022,2,2,22,48000,16,49,100,48,2
114,2021,2,2,17,38400,7,40,100,37,0
203,2021,3,2,48,50000,16,19,100,48,2
141,2021,3,2,21,240000,16,55,0,48,0
341,2022,3,2,17,93700,16,55,100,48,1
7,2020,2,2,22,11000000,9,25,50,22,0
527,2022,3,2,12,135000,16,55,100,48,1
19,2020,2,2,33,56000,16,46,100,48,1
