Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,2,2,22,70000,7,79833,14,0,12,0
1,2020,3,2,41,260000,16,260000,32,0,29,2
2,2020,3,2,7,85000,8,109024,20,50,18,1
3,2020,2,2,47,20000,16,20000,23,0,20,2
4,2020,3,2,38,150000,16,150000,55,50,48,0
5,2020,0,2,12,72000,16,72000,55,100,48,0
6,2020,3,2,34,190000,16,190000,55,100,48,2
7,2020,2,2,22,11000000,9,35735,25,50,22,0
8,2020,2,2,8,135000,16,135000,55,100,48,0
9,2020,3,2,33,125000,16,125000,41,50,38,2
10,2020,0,2,22,45000,7,51321,19,0,17,2
11,2020,2,2,22,3000000,10,40481,27,0,25,0
12,2020,0,2,22,35000,7,39916,19,0,17,1
13,2020,2,2,32,87000,16,87000,55,100,48,0
14,2020,2,2,12,85000,16,85000,55,100,48,0
15,2020,2,2,12,8000,16,8000,43,50,39,0
16,2020,0,2,17,4450000,11,41689,32,100,29,2
17,2020,3,2,7,100000,7,114047,44,100,18,2
18,2020,0,2,19,423000,10,5707,27,50,25,1
19,2020,2,2,33,56000,16,56000,46,100,48,1
20,2020,2,2,38,299000,5,43331,11,0,9,1
21,2020,2,2,47,450000,10,6072,27,100,25,0
22,2020,3,2,17,42000,7,47899,21,50,19,0
23,2020,2,2,5,98000,16,98000,55,0,48,1
24,2020,2,2,34,115000,16,115000,0,0,0,0
25,2020,1,2,25,325000,16,325000,55,100,48,0
26,2020,0,2,48,42000,16,42000,40,50,37,0
27,2020,3,2,17,720000,12,33511,37,0,34,2
28,2020,0,0,8,100000,16,100000,55,100,48,0
29,2020,3,2,40,157000,2,117104,8,50,6,0
30,2020,2,2,18,51999,7,59303,14,100,12,2
31,2020,0,2,7,70000,16,70000,55,100,48,0
32,2020,3,2,22,60000,7,68428,21,100,48,0
33,2020,2,2,48,450000,16,450000,55,0,48,1
34,2020,2,2,12,41000,7,46759,19,50,17,0
35,2020,2,2,17,65000,7,74130,2,50,2,0
36,2020,2,2,19,103000,16,103000,55,100,48,0
37,2020,0,2,38,250000,16,250000,55,50,48,0
38,2020,0,2,12,10000,16,10000,39,100,36,2
39,2020,0,2,38,138000,16,138000,55,100,48,2
40,2020,2,2,22,45760,16,45760,42,100,48,2
41,2020,1,2,18,70000,7,79833,18,50,16,0
42,2020,2,2,39,44000,7,50180,46,0,41,1
43,2020,2,2,17,106000,16,106000,55,100,48,0
44,2020,2,2,17,88000,8,112872,20,50,18,0
45,2020,0,3,36,14000,7,15966,14,100,12,2
46,2020,2,2,22,60000,8,76958,20,100,18,2
47,2020,3,2,17,188000,16,188000,55,100,48,0
48,2020,2,2,22,105000,16,105000,55,100,48,0
49,2020,2,2,17,61500,7,70139,19,50,17,0
50,2020,0,2,12,450000,10,6072,27,0,25,2
51,2020,0,2,12,91000,16,91000,55,100,48,0
52,2020,0,2,1,300000,6,45896,15,50,13,2
53,2020,0,2,17,48000,7,54742,43,100,12,0
54,2020,3,1,10,60000,16,60000,49,100,48,2
55,2020,3,2,46,130000,7,148261,14,100,12,1
56,2020,2,2,22,34000,7,38776,18,100,16,1
57,2020,2,2,22,118000,16,118000,55,100,48,1
58,2020,3,2,22,120000,16,120000,55,50,48,0
59,2020,2,2,22,138350,16,138350,55,100,48,1
60,2020,2,2,17,110000,16,110000,55,100,48,0
61,2020,2,2,17,130800,16,130800,18,100,48,1
62,2020,0,3,22,19000,7,21669,30,50,28,2
63,2020,3,2,22,412000,16,412000,55,100,48,0
64,2020,3,2,38,40000,7,45618,24,100,21,2
65,2020,0,2,22,55000,7,62726,14,50,12,2
66,2020,0,2,22,43200,7,49268,14,0,12,2
67,2020,3,2,21,190200,16,190200,55,100,48,1
68,2020,0,2,22,105000,16,105000,55,100,48,2
69,2020,3,2,22,80000,7,91237,2,0,2,2
70,2020,2,2,22,55000,7,62726,19,50,31,2
71,2020,2,2,22,37000,7,42197,19,50,17,2
72,2021,0,2,48,60000,8,82528,20,50,18,0
73,2021,1,2,5,150000,16,150000,27,100,48,0
74,2021,1,2,29,235000,16,235000,55,100,48,0
75,2021,3,2,22,45000,7,53192,19,50,17,0
76,2021,2,2,5,100000,16,100000,55,100,48,1
77,2021,2,3,0,400000,10,5409,27,50,25,1
78,2021,2,0,36,270000,16,270000,55,100,48,0
79,2021,0,2,12,80000,16,80000,55,100,48,1
80,2021,3,2,13,67000,7,79197,14,100,12,0
81,2021,2,2,17,140000,16,140000,55,100,48,0
82,2021,2,2,3,68000,2,54238,20,50,6,0
83,2021,2,2,38,40000,7,47282,18,100,16,2
84,2021,1,2,25,130000,7,153667,30,100,40,0
85,2021,2,2,17,110000,13,28476,44,100,40,0
86,2021,0,2,12,50000,7,59102,19,50,17,1
87,2021,2,2,13,110000,16,110000,55,100,48,0
88,2021,3,2,32,170000,16,170000,55,100,48,0
89,2021,3,2,12,80000,16,80000,5,100,48,2
90,2021,3,2,42,75000,7,88654,21,100,13,0
91,2021,0,2,19,65000,7,76833,14,100,12,2
92,2021,2,2,32,1450000,10,19609,27,100,25,0
93,2021,3,2,33,276000,16,276000,55,0,48,0
94,2021,0,2,22,2200000,10,29751,27,50,25,0
95,2021,2,2,9,120000,14,89294,50,50,44,0
96,2021,0,3,1,12000,16,12000,7,100,48,2
97,2021,2,2,28,450000,16,450000,55,100,48,0
98,2021,0,2,11,70000,16,70000,55,100,48,1
99,2021,2,2,11,81000,7,95746,14,100,48,2
100,2021,2,2,12,75000,16,75000,55,0,48,0
101,2021,3,2,17,150000,16,150000,55,100,48,0
102,2021,2,2,5,11000000,9,36259,25,50,48,0
103,2021,2,2,12,62000,16,62000,55,0,48,0
104,2021,2,2,22,73000,16,73000,55,0,48,0
105,2021,2,2,12,37456,8,51519,20,50,18,0
106,2021,2,2,48,235000,2,187442,8,100,6,0
107,2021,3,2,17,115000,16,115000,55,100,48,2
108,2021,3,2,17,150000,16,150000,55,100,48,1
109,2021,0,2,17,2250000,10,30428,27,100,25,0
110,2021,3,2,38,80000,7,94564,14,50,12,0
111,2021,3,2,24,82500,8,113476,20,100,18,1
112,2021,3,2,33,75000,8,103160,20,100,18,2
113,2021,0,3,1,12000,16,12000,43,100,48,1
114,2021,2,2,17,38400,7,45391,40,100,37,0
115,2021,0,2,41,225000,16,225000,55,100,48,0
116,2021,2,2,22,50000,16,50000,39,100,36,0
117,2021,2,2,20,34000,7,40189,21,100,19,1
118,2021,0,2,12,90000,16,90000,55,100,48,2
119,2021,2,2,17,200000,16,200000,55,100,48,0
120,2021,2,2,7,60000,16,60000,18,50,42,1
121,2021,3,2,45,200000,16,200000,55,100,48,1
122,2021,0,2,12,50000,16,50000,55,100,48,1
123,2021,0,2,3,80000,8,110037,20,0,18,0
124,2021,0,3,12,8760,7,10354,18,50,16,1
125,2021,2,2,46,151000,16,151000,55,100,48,0
126,2021,3,2,41,120000,16,120000,55,50,48,2
127,2021,2,2,22,700000,10,9466,27,0,25,2
128,2021,0,2,38,20000,16,20000,27,100,25,2
129,2021,3,2,34,3000000,10,40570,27,50,25,0
130,2021,0,2,37,100000,16,100000,28,50,26,2
131,2021,0,2,22,42000,7,49646,19,50,17,1
132,2021,2,2,4,38400,16,38400,56,100,48,1
133,2021,3,2,10,24000,16,24000,7,100,5,1
134,2021,0,2,22,100000,16,100000,55,0,48,2
135,2021,2,2,12,90000,16,90000,55,100,48,1
136,2021,2,2,36,7000000,11,63711,32,50,29,2
137,2021,2,2,36,8500000,11,77364,32,50,29,2
138,2021,3,2,46,220000,16,220000,55,0,48,0
139,2021,0,2,22,80000,16,80000,55,100,48,1
140,2021,2,2,12,135000,16,135000,55,100,48,0
141,2021,3,2,21,240000,16,240000,55,0,48,0
142,2021,3,2,18,150000,16,150000,55,0,48,0
143,2021,2,2,22,82500,16,82500,55,100,48,2
144,2021,2,2,17,100000,16,100000,55,100,48,0
